Carimbo de data/hora	A empresa que você trabalha está ou esteve envolvida em um projeto para desenvolver uma solução de DATA LAKE?	Você atua na empresa como:	As partes envolvidas no projeto possuem certificação para atuar com o provedor escolhido?	Qual provedor de cloud escolhido?	Marque quais metodologias ágeis foram utilizadas no projeto de desenvolvimento da solução de Data Lake na nuvem em sua empresa	Qual dos seguintes tópicos representaram o maior desafio do projeto em relação a migração dos dados?	Houve alteração de escopo no projeto?	Se você respondeu SIM para a questão anterior, por gentileza, indique abaixo quais alterações ocorreram no escopo do projeto.	Qual é o tamanho aproximado do projeto em armazenamento? (Ex resposta: 130GB)	Quais foram os tipos de dados solicitados para ingestão?	Qual tamanho da equipe?	Em uma escala de avaliação, qual nota você atribui para a entrega do projeto?	Indique abaixo quais foram as principais falhas que ocorreram no desenvolvimento da solução de Data Lake na nuvem em sua empresa	Comentários	Qual o porte?	Informe qual intervalo a seguir melhor representa o investimento total em recursos utilizados no projeto de Data Lake que você estava envolvido?	Qual item a seguir melhor descreve sua posição no projeto:	A empresa atua com qual segmentação de clientes?	Você possui experiência prévia com esse tipo de solução?	Quanto tempo custou o desenvolvimento da  primeira entrega?	Houve ingestão de streaming de dados?	Projetos de big data possuem 3 desafios principais: Volume, Velocidade, Variedade. Para demonstrar que você está respondendo esse questionário com atenção, por favor, selecione apenas a opção “Velocidade” dentre as opções abaixo: 				Qual
12/03/2022 00:12:07	Sim	Consultor Terceirizado	Sim	Google Cloud Plataform	Scrum, OKR	Velocidade	Sim	Alteração de infraestrutura tecnológica para atender o projeto, Alteração da equipe de desenvolvimento, Alteração no custo inicial do escopo do projeto		Bases SQL, Bases NoSQL, API	Até 5 pessoas	4	Falha no planejamento em relação às etapas de desenvolvimento do projeto, Falha pela ausência de banco de dados (informações) importantes que não foram migradas para o data lake		Empresa de Pequeno Porte (até 100 funcionários)	Entre R$ 10.000,01 e R$ 20.000,00	Desenvolvimento	B2B (Empresas negociam com outras empresas)	Sim	3 a 6 meses	Sim	Velocidade				
12/03/2022 00:42:47	Sim	Colaborador Interno	Sim	Amazon Web Services	Scrum, Kanban	Volume	Não	Não ocorreu alteração no escopo do projeto		Bases SQL, API	Até 5 pessoas	5	Não ocorreram falhas no desenvolvimento do data lake		Empresa de Médio Porte (até 500 funcionários)	Entre R$ 50.000,01 e R$ 100.000,00	Gestão	B2C (Empresas negociam com consumidores finais)	Sim	Até 3 meses	Sim	Velocidade				
12/03/2022 01:17:03	Não																									
12/03/2022 09:46:10	Sim	Colaborador Interno	Sim	Microsoft Azure	Kanban, Xtreme GoHorse	Complexidade para obtenção dos dados na origem	Sim	Alteração de infraestrutura tecnológica para atender o projeto, Alteração das soluções contratadas (up-grade ou redução de soluções), Alteração da equipe de desenvolvimento, Alteração no custo inicial do escopo do projeto		Bases SQL, Bases NoSQL, API, Outros	5 a 10 pessoas	4	Falha no planejamento em relação às etapas de desenvolvimento do projeto, Falha na gestão/liderança da equipe para executar o projeto, Falha na implantação da governança dos dados		Empresa de Grande Porte (500 funcionários ou mais)	Acima de R$ 100.000,01	Gestão	B2C (Empresas negociam com consumidores finais)	Sim	3 a 6 meses	Sim	Velocidade				
12/03/2022 10:05:56	Sim	Colaborador Interno	Sim	Microsoft Azure	Scrum, Kanban	Volume	Não	Não ocorreu alteração no escopo do projeto		Bases SQL, Bases NoSQL, API	35 pessoas ou mais	4	Falha no planejamento em relação às etapas de desenvolvimento do projeto		Empresa de Grande Porte (500 funcionários ou mais)	Acima de R$ 100.000,01	Desenvolvimento	Ambos	Sim	12 a 18 meses	Sim	Velocidade				
12/03/2022 10:26:34	Sim	Consultor Terceirizado	Não	Amazon Web Services	Scrum	Variedade	Sim	Redefinição dos bancos de dados que migraram para a nuvem		Bases SQL	5 a 10 pessoas	4	Falha pela ausência de banco de dados (informações) importantes que não foram migradas para o data lake, Falha na implantação da governança dos dados		Empresa de Pequeno Porte (até 100 funcionários)	Entre R$ 10.000,01 e R$ 20.000,00	Desenvolvimento	B2B (Empresas negociam com outras empresas)	Sim	3 a 6 meses	Não	Velocidade				
12/03/2022 20:00:25	Sim	Colaborador Interno	Sim	Amazon Web Services	Scrum, OKR, Scaled Agile Framework (SAFe)	Volume	Sim	Alteração no custo inicial do escopo do projeto		Bases SQL	11 a 20 pessoas	4	Não ocorreram falhas no desenvolvimento do data lake		Empresa de Grande Porte (500 funcionários ou mais)	Acima de R$ 100.000,01	Desenvolvimento	B2B (Empresas negociam com outras empresas)	Sim	3 a 6 meses	Não	Velocidade				
12/03/2022 23:04:15	Sim	Colaborador Interno	Sim	Microsoft Azure	Kanban, Scaled Agile Framework (SAFe)	Variedade	Não	Não ocorreu alteração no escopo do projeto		Bases SQL, Outros	Até 5 pessoas	2	Falha no planejamento em relação às etapas de desenvolvimento do projeto, Falha no planejamento da arquitetura que não prepara realmente o terreno para análise de dados, Falha no planejamento de custo relacionado à infraestrutura e manutenção, Falha pela ausência de banco de dados (informações) importantes que não foram migradas para o data lake, Falha na implantação da governança dos dados		Empresa de Médio Porte (até 500 funcionários)	Entre R$ 50.000,01 e R$ 100.000,00	Desenvolvimento	B2C (Empresas negociam com consumidores finais)	Não	12 a 18 meses	Sim	Velocidade				
12/03/2022 23:06:12	Sim	Consultor Terceirizado	Sim	Amazon Web Services	Nenhuma metodologia ágil foi utilizada	Velocidade	Sim	Redefinição dos bancos de dados que migraram para a nuvem, Alteração das soluções contratadas (up-grade ou redução de soluções)		Bases SQL, API	11 a 20 pessoas	2	Falha no planejamento de custo relacionado à infraestrutura e manutenção, Falha pela ausência de banco de dados (informações) importantes que não foram migradas para o data lake, Falha na gestão/liderança da equipe para executar o projeto		Empresa de Grande Porte (500 funcionários ou mais)	Não sei responder essa informação	Desenvolvimento	B2C (Empresas negociam com consumidores finais)	Sim	6 a 12 meses	Sim	Velocidade				
12/03/2022 23:07:38	Sim	Consultor Terceirizado	Sim	Google Cloud Plataform	Scrum, Kanban, OKR	Variedade	Sim	Alteração de infraestrutura tecnológica para atender o projeto, Alteração no custo inicial do escopo do projeto		Bases SQL, Bases NoSQL, API	5 a 10 pessoas	4	Não ocorreram falhas no desenvolvimento do data lake		Empresa de Grande Porte (500 funcionários ou mais)	Entre R$ 50.000,01 e R$ 100.000,00	Desenvolvimento	B2B (Empresas negociam com outras empresas)	Sim	3 a 6 meses	Sim	Velocidade				
13/03/2022 08:17:22	Sim	Consultor Terceirizado	Sim	Microsoft Azure	Scrum, Kanban	Volume	Sim	Redefinição dos bancos de dados que migraram para a nuvem, Alteração da equipe de desenvolvimento		Bases SQL, API	11 a 20 pessoas	4	Falha no planejamento da arquitetura que não prepara realmente o terreno para análise de dados, Falha pela ausência de banco de dados (informações) importantes que não foram migradas para o data lake, Falha na gestão/liderança da equipe para executar o projeto, Falha na implantação da governança dos dados		Empresa de Médio Porte (até 500 funcionários)	Não sei responder essa informação	Desenvolvimento	B2B (Empresas negociam com outras empresas)	Sim	3 a 6 meses	Não	Velocidade				
13/03/2022 09:46:34	Sim	Consultor Terceirizado	Não	Amazon Web Services	Kanban	Volume	Sim	Alteração de infraestrutura tecnológica para atender o projeto, Alteração das soluções contratadas (up-grade ou redução de soluções)		Bases SQL, Bases NoSQL	35 pessoas ou mais	4	Falha no planejamento da arquitetura que não prepara realmente o terreno para análise de dados, Falha no planejamento de como manter a qualidade dos dados		Empresa de Grande Porte (500 funcionários ou mais)	Acima de R$ 100.000,01	Desenvolvimento	B2C (Empresas negociam com consumidores finais)	Sim	6 a 12 meses	Sim	Velocidade				
13/03/2022 11:10:54	Sim	Colaborador Interno	Sim	Amazon Web Services	OKR	Variedade	Sim	Redefinição dos bancos de dados que migraram para a nuvem, Alteração da equipe de desenvolvimento		Bases SQL	Até 5 pessoas	3	Falha na capacidade de utilização do data lake pelos analistas da empresa, Falha pela ausência de banco de dados (informações) importantes que não foram migradas para o data lake		Empresa de Pequeno Porte (até 100 funcionários)	Entre R$ 20.000,01 e R$ 30.000,00	Gestão	B2C (Empresas negociam com consumidores finais)	Sim	6 a 12 meses	Não	Velocidade				
13/03/2022 13:01:43	Não																									
13/03/2022 17:35:48	Não																									
13/03/2022 19:22:54	Sim	Colaborador Interno	Não	Amazon Web Services	Kanban, Scaled Agile Framework (SAFe)	Velocidade	Sim	Redefinição dos bancos de dados que migraram para a nuvem, Alteração das soluções contratadas (up-grade ou redução de soluções), Alteração no custo inicial do escopo do projeto		Bases SQL, Outros	5 a 10 pessoas	4	Falha no planejamento da arquitetura que não prepara realmente o terreno para análise de dados, Falha pela ausência de banco de dados (informações) importantes que não foram migradas para o data lake, Falha de segurança na gestão de acesso dos usuários		Empresa de Pequeno Porte (até 100 funcionários)	Entre R$ 30.000,01 e R$ 50.000,00	Desenvolvimento	Ambos	Não	3 a 6 meses	Não	Velocidade				
13/03/2022 19:32:02	Sim	Consultor Terceirizado	Sim	Amazon Web Services	Scrum, Kanban	Variedade	Sim	Alteração de infraestrutura tecnológica para atender o projeto, Redefinição dos bancos de dados que migraram para a nuvem, Alteração das soluções contratadas (up-grade ou redução de soluções), Alteração da equipe de desenvolvimento, Alteração no custo inicial do escopo do projeto		Bases SQL, API, Outros	5 a 10 pessoas	4	Falha na capacidade de utilização do data lake pelos analistas da empresa		Empresa de Grande Porte (500 funcionários ou mais)	Abaixo de R$ 10.000,00	Desenvolvimento	B2B (Empresas negociam com outras empresas)	Sim	Até 3 meses	Sim	Velocidade				
13/03/2022 20:53:06	Sim	Colaborador Interno	Não	Amazon Web Services	Scrum, Kanban, Nenhuma metodologia ágil foi utilizada	Volume	Sim	Alteração de infraestrutura tecnológica para atender o projeto, Alteração da equipe de desenvolvimento, Alteração de Escopo e Objetivo		Bases SQL, Outros	5 a 10 pessoas	3	Falha no planejamento em relação às etapas de desenvolvimento do projeto, Falha no planejamento de custo relacionado à infraestrutura e manutenção, Falha na gestão/liderança da equipe para executar o projeto		Empresa de Médio Porte (até 500 funcionários)	Não sei responder essa informação	Gestão	Ambos	Não	6 a 12 meses	Sim	Velocidade				
13/03/2022 22:47:34	Sim	Consultor Terceirizado	Sim	Google Cloud Plataform	Scrum, OKR	Velocidade	Sim	Alteração de infraestrutura tecnológica para atender o projeto, Alteração das soluções contratadas (up-grade ou redução de soluções), Alteração no custo inicial do escopo do projeto		Bases SQL, API	5 a 10 pessoas	4	Falha no planejamento em relação às etapas de desenvolvimento do projeto, Falha no planejamento da arquitetura que não prepara realmente o terreno para análise de dados		Empresa de Pequeno Porte (até 100 funcionários)	Entre R$ 20.000,01 e R$ 30.000,00	Gestão	B2B (Empresas negociam com outras empresas)	Sim	3 a 6 meses	Sim	Velocidade				
13/03/2022 22:49:08	Sim	Consultor Terceirizado	Sim	Amazon Web Services	Kanban	Volume	Não	Não ocorreu alteração no escopo do projeto		Bases SQL	11 a 20 pessoas	5	Não ocorreram falhas no desenvolvimento do data lake		Empresa de Pequeno Porte (até 100 funcionários)	Entre R$ 10.000,01 e R$ 20.000,00	Gestão	B2B (Empresas negociam com outras empresas)	Sim	3 a 6 meses	Não	Velocidade				
13/03/2022 22:49:21	Não																									
13/03/2022 22:50:32	Sim	Consultor Terceirizado	Sim	Amazon Web Services	Scrum, Scaled Agile Framework (SAFe)	Variedade	Sim	Alteração das soluções contratadas (up-grade ou redução de soluções)		Bases SQL, Bases NoSQL	5 a 10 pessoas	5	Não ocorreram falhas no desenvolvimento do data lake		Empresa de Médio Porte (até 500 funcionários)	Entre R$ 30.000,01 e R$ 50.000,00	Desenvolvimento	Ambos	Sim	Até 3 meses	Não	Velocidade				
14/03/2022 08:46:56	Sim	Colaborador Interno	Sim	Google Cloud Plataform	Scrum, Kanban, OKR	Variedade	Não	Não ocorreu alteração no escopo do projeto		Bases SQL, Bases NoSQL, API, Outros	35 pessoas ou mais	4	Falha no planejamento de custo relacionado à infraestrutura e manutenção, Falha na implantação da governança dos dados		Empresa de Grande Porte (500 funcionários ou mais)	Acima de R$ 100.000,01	Gestão	Ambos	Sim	3 a 6 meses	Não	Velocidade				
14/03/2022 09:18:09	Sim	Colaborador Interno	Não	Google Cloud Plataform	Scrum	Variedade	Sim	Alteração de infraestrutura tecnológica para atender o projeto, Alteração das soluções contratadas (up-grade ou redução de soluções), Alteração da equipe de desenvolvimento, Alteração no custo inicial do escopo do projeto		Bases SQL, API	35 pessoas ou mais	4	Falha no planejamento em relação às etapas de desenvolvimento do projeto, Falha no planejamento da arquitetura que não prepara realmente o terreno para análise de dados, Falha no planejamento de custo relacionado à infraestrutura e manutenção, Falha na capacidade de utilização do data lake pelos analistas da empresa, Falha na gestão/liderança da equipe para executar o projeto		Empresa de Grande Porte (500 funcionários ou mais)	Acima de R$ 100.000,01	Desenvolvimento	Ambos	Sim	12 a 18 meses	Sim	Velocidade				
14/03/2022 11:29:26	Sim	Colaborador Interno	Não	Amazon Web Services	OKR	Volume	Sim	Alteração de infraestrutura tecnológica para atender o projeto, Redefinição dos bancos de dados que migraram para a nuvem, Alteração das soluções contratadas (up-grade ou redução de soluções), Alteração da equipe de desenvolvimento		Bases SQL	11 a 20 pessoas	3	Falha no planejamento em relação às etapas de desenvolvimento do projeto, Falha no planejamento de custo relacionado à infraestrutura e manutenção, Falha na capacidade de utilização do data lake pelos analistas da empresa, Falha na gestão/liderança da equipe para executar o projeto		Empresa de Grande Porte (500 funcionários ou mais)	Entre R$ 30.000,01 e R$ 50.000,00	Desenvolvimento	B2C (Empresas negociam com consumidores finais)	Sim	6 a 12 meses	Sim	Velocidade				
14/03/2022 14:14:02	Sim	Consultor Terceirizado	Não	Amazon Web Services	Scrum, Kanban	Variedade	Não	Não ocorreu alteração no escopo do projeto		Bases SQL, Bases NoSQL, API	35 pessoas ou mais	5	Falha na implantação da governança dos dados		Empresa de Grande Porte (500 funcionários ou mais)	Acima de R$ 100.000,01	Desenvolvimento	B2B (Empresas negociam com outras empresas)	Sim	Até 3 meses	Não	Velocidade				
14/03/2022 16:05:37	Sim	Colaborador Interno	Sim	Amazon Web Services	Scrum, Kanban	Velocidade	Sim	Alteração da equipe de desenvolvimento		Bases SQL, API	5 a 10 pessoas	4	Falha no planejamento em relação às etapas de desenvolvimento do projeto, Falha na capacidade de utilização do data lake pelos analistas da empresa		Empresa de Grande Porte (500 funcionários ou mais)	Acima de R$ 100.000,01	Gestão	Ambos	Sim	3 a 6 meses	Não	Velocidade				
14/03/2022 16:06:41	Não																									
14/03/2022 16:40:51	Não																									
14/03/2022 18:00:07	Sim	Colaborador Interno	Sim	Microsoft Azure	Kanban, OKR	Velocidade	Não	Redefinição dos bancos de dados que migraram para a nuvem, Alteração da equipe de desenvolvimento, Alteração no custo inicial do escopo do projeto		Bases SQL, Outros	11 a 20 pessoas	3	Falha no planejamento em relação às etapas de desenvolvimento do projeto, Falha no planejamento de custo relacionado à infraestrutura e manutenção, Falha pela ausência de banco de dados (informações) importantes que não foram migradas para o data lake, Falha na gestão/liderança da equipe para executar o projeto		Empresa de Pequeno Porte (até 100 funcionários)	Entre R$ 20.000,01 e R$ 30.000,00	Desenvolvimento	B2B (Empresas negociam com outras empresas)	Sim	3 a 6 meses	Sim	Velocidade				
14/03/2022 21:14:21	Sim	Consultor Terceirizado	Sim	Google Cloud Plataform	Scrum, OKR	Volume	Não	Não ocorreu alteração no escopo do projeto		Bases SQL, Bases NoSQL	21 a 35 pessoas	5	Não ocorreram falhas no desenvolvimento do data lake		Empresa de Médio Porte (até 500 funcionários)	Entre R$ 50.000,01 e R$ 100.000,00	Gestão	B2C (Empresas negociam com consumidores finais)	Sim	6 a 12 meses	Não	Velocidade				
14/03/2022 21:18:57	Sim	Colaborador Interno	Não	Amazon Web Services	Nenhuma metodologia ágil foi utilizada	Variedade	Sim	Alteração de infraestrutura tecnológica para atender o projeto, Alteração da equipe de desenvolvimento, Alteração no custo inicial do escopo do projeto		Bases SQL, API	5 a 10 pessoas	2	Falha no planejamento da arquitetura que não prepara realmente o terreno para análise de dados, Falha na capacidade de utilização do data lake pelos analistas da empresa, Falha pela ausência de banco de dados (informações) importantes que não foram migradas para o data lake, Falha na gestão/liderança da equipe para executar o projeto, Falha na implantação da governança dos dados		Microempresa (até 20 funcionários)	Entre R$ 10.000,01 e R$ 20.000,00	Gestão	B2B (Empresas negociam com outras empresas)	Não	3 a 6 meses	Sim	Velocidade				
14/03/2022 21:23:55	Sim	Consultor Terceirizado	Sim	Amazon Web Services	Kanban, OKR, Scaled Agile Framework (SAFe)	Volume	Não	Não ocorreu alteração no escopo do projeto		Bases SQL, API, Outros	35 pessoas ou mais	5	Falha na implantação da governança dos dados		Empresa de Grande Porte (500 funcionários ou mais)	Acima de R$ 100.000,01	Desenvolvimento	Ambos	Não	12 a 18 meses	Não	Velocidade				
14/03/2022 21:30:43	Não																									
14/03/2022 21:30:53	Não																									
14/03/2022 21:42:16	Sim	Colaborador Interno	Sim	Google Cloud Plataform	Scrum, Kanban, OKR	Volume	Não	Não ocorreu alteração no escopo do projeto		Bases SQL, API, Outros	5 a 10 pessoas	5	Não ocorreram falhas no desenvolvimento do data lake		Empresa de Médio Porte (até 500 funcionários)	Entre R$ 50.000,01 e R$ 100.000,00	Desenvolvimento	B2B (Empresas negociam com outras empresas)	Não	3 a 6 meses	Não	Velocidade				
14/03/2022 21:54:04	Sim	Colaborador Interno	Não	Google Cloud Plataform	OKR	Velocidade	Sim	Alteração de infraestrutura tecnológica para atender o projeto, Redefinição dos bancos de dados que migraram para a nuvem, Alteração das soluções contratadas (up-grade ou redução de soluções), Alteração no custo inicial do escopo do projeto		Bases NoSQL, API	11 a 20 pessoas	2	Falha no planejamento em relação às etapas de desenvolvimento do projeto, Falha na capacidade de utilização do data lake pelos analistas da empresa, Falha pela ausência de banco de dados (informações) importantes que não foram migradas para o data lake, Falha na implantação da governança dos dados		Microempresa (até 20 funcionários)	Entre R$ 10.000,01 e R$ 20.000,00	Desenvolvimento	B2C (Empresas negociam com consumidores finais)	Sim	Até 3 meses	Sim	Velocidade				
14/03/2022 21:54:26	Não																									
14/03/2022 22:04:15	Sim	Colaborador Interno	Não	Google Cloud Plataform	Nenhuma metodologia ágil foi utilizada	Variedade	Sim	Redefinição dos bancos de dados que migraram para a nuvem, Alteração das soluções contratadas (up-grade ou redução de soluções), Alteração no custo inicial do escopo do projeto		Bases SQL, API	21 a 35 pessoas	2	Falha no planejamento em relação às etapas de desenvolvimento do projeto, Falha no planejamento de custo relacionado à infraestrutura e manutenção, Falha pela ausência de banco de dados (informações) importantes que não foram migradas para o data lake, Falha na gestão/liderança da equipe para executar o projeto		Empresa de Pequeno Porte (até 100 funcionários)	Entre R$ 20.000,01 e R$ 30.000,00	Desenvolvimento	B2B (Empresas negociam com outras empresas)	Não	3 a 6 meses	Sim	Velocidade				
14/03/2022 22:04:45	Não																									
14/03/2022 22:25:53	Sim	Consultor Terceirizado	Sim	Amazon Web Services	Scrum, OKR	Volume	Não	Não ocorreu alteração no escopo do projeto		Bases SQL, API, Outros	5 a 10 pessoas	5	Não ocorreram falhas no desenvolvimento do data lake		Empresa de Grande Porte (500 funcionários ou mais)	Entre R$ 50.000,01 e R$ 100.000,00	Desenvolvimento	Ambos	Sim	6 a 12 meses	Não	Velocidade				
14/03/2022 23:43:33	Sim	Consultor Terceirizado	Sim	Google Cloud Plataform	Kanban	Volume	Não	Não ocorreu alteração no escopo do projeto		Bases SQL, API, Outros	5 a 10 pessoas	5	Falha na gestão/liderança da equipe para executar o projeto		Empresa de Médio Porte (até 500 funcionários)	Entre R$ 50.000,01 e R$ 100.000,00	Gestão	B2B (Empresas negociam com outras empresas)	Sim	3 a 6 meses	Não	Velocidade				
14/03/2022 23:45:29	Sim	Colaborador Interno	Não	Amazon Web Services	Scaled Agile Framework (SAFe)	Velocidade	Sim	Alteração de infraestrutura tecnológica para atender o projeto, Alteração da equipe de desenvolvimento, Alteração no custo inicial do escopo do projeto		Bases SQL, Bases NoSQL	11 a 20 pessoas	3	Falha no planejamento em relação às etapas de desenvolvimento do projeto, Falha no planejamento da arquitetura que não prepara realmente o terreno para análise de dados, Falha pela ausência de banco de dados (informações) importantes que não foram migradas para o data lake, Falha na gestão/liderança da equipe para executar o projeto		Empresa de Pequeno Porte (até 100 funcionários)	Entre R$ 20.000,01 e R$ 30.000,00	Gestão	B2B (Empresas negociam com outras empresas)	Não	6 a 12 meses	Sim	Velocidade				
15/03/2022 15:52:34	Sim	Colaborador Interno	Não	Microsoft Azure	Scrum, Kanban	Governança dos Dados	Sim	Redefinição dos bancos de dados que migraram para a nuvem, Alteração da equipe de desenvolvimento		Bases SQL, Bases NoSQL, API	Até 5 pessoas	4	Falha no planejamento em relação às etapas de desenvolvimento do projeto, Falha no planejamento da arquitetura que não prepara realmente o terreno para análise de dados, Falha na implantação da governança dos dados		Empresa de Grande Porte (500 funcionários ou mais)	Acima de R$ 100.000,01	Desenvolvimento	Ambos	Sim	3 a 6 meses	Não	Volume				
15/03/2022 18:18:08	Não																									
15/03/2022 18:38:35	Não																									
