Carimbo de data/hora	A empresa que você trabalha está ou esteve envolvida em um projeto para desenvolver uma solução de DATA LAKE?	Você atua na empresa como:	As partes envolvidas no projeto possuem certificação para atuar com o provedor escolhido?	Qual provedor de cloud escolhido?	Marque quais metodologias ágeis foram utilizadas no projeto de desenvolvimento da solução de Data Lake na nuvem em sua empresa	Qual dos seguintes tópicos representaram o maior desafio do projeto em relação a migração dos dados?	Houve alteração de escopo no projeto?	Se você respondeu SIM para a questão anterior, por gentileza, indique abaixo quais alterações ocorreram no escopo do projeto.	Qual é o tamanho aproximado do projeto em armazenamento? (Ex resposta: 130GB)	Quais foram os tipos de dados solicitados para ingestão?	Qual tamanho da equipe?	Em uma escala de avaliação, qual nota você atribui para a entrega do projeto?	Indique abaixo quais foram as principais falhas que ocorreram no desenvolvimento da solução de Data Lake na nuvem em sua empresa	Comentários	Qual o porte?	Informe qual intervalo a seguir melhor representa o investimento total em recursos utilizados no projeto de Data Lake que você estava envolvido?	Qual item a seguir melhor descreve sua posição no projeto:	A empresa atua com qual segmentação de clientes?	Você possui experiência prévia com esse tipo de solução?	Quanto tempo custou o desenvolvimento da  primeira entrega?	Houve ingestão de streaming de dados?	Projetos de big data possuem 3 desafios principais: Volume, Velocidade, Variedade. Para demonstrar que você está respondendo esse questionário com atenção, por favor, selecione apenas a opção “Velocidade” dentre as opções abaixo: 				Qual
15/03/2022 18:49:05	Sim	Consultor Terceirizado	Sim	Microsoft Azure	Scrum	Volume	Sim	Alteração das soluções contratadas (up-grade ou redução de soluções)		Bases SQL, API, Outros	35 pessoas ou mais	4	Falha no planejamento da arquitetura que não prepara realmente o terreno para análise de dados, Falha na implantação da governança dos dados		Empresa de Grande Porte (500 funcionários ou mais)	Não sei responder essa informação	Desenvolvimento	Ambos	Sim	3 a 6 meses	Não	Velocidade				
15/03/2022 19:47:17	Não																									
15/03/2022 21:30:58	Sim	Consultor Terceirizado	Não	Microsoft Azure	Scrum	Variedade	Sim	Redefinição dos bancos de dados que migraram para a nuvem		Bases SQL, API, Outros	Até 5 pessoas	4	Falha pela ausência de banco de dados (informações) importantes que não foram migradas para o data lake, Falha na gestão/liderança da equipe para executar o projeto, Falha na implantação da governança dos dados		Empresa de Pequeno Porte (até 100 funcionários)	Acima de R$ 100.000,01	Desenvolvimento	B2C (Empresas negociam com consumidores finais)	Não	3 a 6 meses	Sim	Velocidade				
16/03/2022 01:13:12	Sim	Colaborador Interno	Não	Amazon Web Services	Scrum	Variedade	Não	Não ocorreu alteração no escopo do projeto		Bases SQL, API	Até 5 pessoas	3	Falha no planejamento em relação às etapas de desenvolvimento do projeto, Falha na capacidade de utilização do data lake pelos analistas da empresa, Falha na implantação da governança dos dados		Empresa de Grande Porte (500 funcionários ou mais)	Abaixo de R$ 10.000,00	Desenvolvimento	B2C (Empresas negociam com consumidores finais)	Não	3 a 6 meses	Não	Velocidade				
16/03/2022 10:52:01	Sim	Colaborador Interno	Sim	Amazon Web Services	Nenhuma metodologia ágil foi utilizada	Volume	Não	Não ocorreu alteração no escopo do projeto		Bases SQL, API	21 a 35 pessoas	4	Falha no planejamento em relação às etapas de desenvolvimento do projeto, Falha na gestão/liderança da equipe para executar o projeto, Falha na implantação da governança dos dados		Empresa de Grande Porte (500 funcionários ou mais)	Não sei responder essa informação	Desenvolvimento	B2B (Empresas negociam com outras empresas)	Não	18 meses ou mais	Sim	Velocidade				
16/03/2022 14:23:10	Não																									
17/03/2022 09:14:40	Não																									
17/03/2022 18:27:00	Sim	Colaborador Interno	Sim	Google Cloud Plataform	Scrum, Kanban	Variedade	Sim	Alteração de infraestrutura tecnológica para atender o projeto, Alteração da equipe de desenvolvimento, Alteração no custo inicial do escopo do projeto		Bases SQL, Bases NoSQL, API	35 pessoas ou mais	5	Falha no planejamento em relação às etapas de desenvolvimento do projeto, Falha no planejamento de custo relacionado à infraestrutura e manutenção		Empresa de Grande Porte (500 funcionários ou mais)	Acima de R$ 100.000,01	Desenvolvimento	Ambos	Sim	3 a 6 meses	Sim	Velocidade				
17/03/2022 18:28:55	Sim	Colaborador Interno	Não	Google Cloud Plataform	Scrum, Kanban, OKR	Velocidade	Sim	Alteração no custo inicial do escopo do projeto		Bases SQL, Bases NoSQL, API, Outros	5 a 10 pessoas	4	Falha no planejamento da arquitetura que não prepara realmente o terreno para análise de dados		Empresa de Grande Porte (500 funcionários ou mais)	Acima de R$ 100.000,01	Gestão	Ambos	Sim	3 a 6 meses	Sim	Velocidade				
17/03/2022 18:29:10	Sim	Colaborador Interno	Sim	Google Cloud Plataform	Scrum, Kanban, OKR	Variedade	Sim	Alteração da equipe de desenvolvimento		Bases SQL, Bases NoSQL, API	21 a 35 pessoas	3	Falha no planejamento da arquitetura que não prepara realmente o terreno para análise de dados, Falha na capacidade de utilização do data lake pelos analistas da empresa, Falha pela ausência de banco de dados (informações) importantes que não foram migradas para o data lake, Falha na gestão/liderança da equipe para executar o projeto, Falha na implantação da governança dos dados		Empresa de Grande Porte (500 funcionários ou mais)	Não sei responder essa informação	Desenvolvimento	B2B (Empresas negociam com outras empresas)	Não	6 a 12 meses	Sim	Velocidade				
17/03/2022 18:35:07	Sim	Colaborador Interno	Não	Google Cloud Plataform	Scrum, Kanban, OKR, Extreme Programming (XP)	Velocidade	Sim	Alteração de infraestrutura tecnológica para atender o projeto, Alteração da equipe de desenvolvimento, Alteração no custo inicial do escopo do projeto		Bases SQL, API, Outros	35 pessoas ou mais	3	Falha no planejamento em relação às etapas de desenvolvimento do projeto, Falha no planejamento da arquitetura que não prepara realmente o terreno para análise de dados, Falha na capacidade de utilização do data lake pelos analistas da empresa, Falha pela ausência de banco de dados (informações) importantes que não foram migradas para o data lake, Falha na gestão/liderança da equipe para executar o projeto, Falha na implantação da governança dos dados		Empresa de Grande Porte (500 funcionários ou mais)	Não sei responder essa informação	Desenvolvimento	Ambos	Não	3 a 6 meses	Sim	Velocidade				
17/03/2022 18:35:09	Sim	Colaborador Interno	Sim	Google Cloud Plataform	Scrum, Kanban	Volume	Não	Não ocorreu alteração no escopo do projeto		Bases SQL, Bases NoSQL, API	35 pessoas ou mais	5	Não ocorreram falhas no desenvolvimento do data lake		Empresa de Grande Porte (500 funcionários ou mais)	Acima de R$ 100.000,01	Desenvolvimento	Ambos	Sim	18 meses ou mais	Sim	Velocidade				
17/03/2022 18:35:49	Sim	Colaborador Interno	Sim	Google Cloud Plataform	Scrum, Kanban, OKR	Disponibilidade	Sim	Alteração de infraestrutura tecnológica para atender o projeto, Redefinição dos bancos de dados que migraram para a nuvem, Alteração da equipe de desenvolvimento		Bases SQL, Bases NoSQL, API	11 a 20 pessoas	4	Falha no planejamento em relação às etapas de desenvolvimento do projeto, Falha no planejamento da arquitetura que não prepara realmente o terreno para análise de dados		Empresa de Grande Porte (500 funcionários ou mais)	Não sei responder essa informação	Desenvolvimento	Ambos	Sim	3 a 6 meses	Sim	Velocidade				
17/03/2022 18:40:23	Sim	Colaborador Interno	Sim	Google Cloud Plataform	Kanban	Variedade	Não	Alteração das soluções contratadas (up-grade ou redução de soluções)		Outros	11 a 20 pessoas	4	Falha no planejamento em relação às etapas de desenvolvimento do projeto, Falha no planejamento de custo relacionado à infraestrutura e manutenção, Falha na capacidade de utilização do data lake pelos analistas da empresa, Falha na implantação da governança dos dados		Empresa de Grande Porte (500 funcionários ou mais)	Acima de R$ 100.000,01	Desenvolvimento	Ambos	Sim	3 a 6 meses	Sim	Velocidade				
17/03/2022 18:45:15	Sim	Colaborador Interno	Sim	Google Cloud Plataform	Scrum, Kanban, OKR	Variedade	Sim	Redefinição dos bancos de dados que migraram para a nuvem, Alteração das soluções contratadas (up-grade ou redução de soluções), Alteração da equipe de desenvolvimento, Alteração no custo inicial do escopo do projeto		Bases SQL, Bases NoSQL, API	35 pessoas ou mais	4	Falha na capacidade de utilização do data lake pelos analistas da empresa, Falha na implantação da governança dos dados		Empresa de Grande Porte (500 funcionários ou mais)	Acima de R$ 100.000,01	Gestão	Ambos	Não	Até 3 meses	Sim	Velocidade				
17/03/2022 18:45:22	Sim	Colaborador Interno	Não	Google Cloud Plataform	Scrum, Kanban, OKR	Backlog vs capacity	Sim	Repriorizações para atender a necessidade de negócio		Bases SQL, Bases NoSQL, API	35 pessoas ou mais	5	Falha na capacidade de utilização do data lake pelos analistas da empresa, Falha pela ausência de banco de dados (informações) importantes que não foram migradas para o data lake, Falha na implantação da governança dos dados		Empresa de Grande Porte (500 funcionários ou mais)	Acima de R$ 100.000,01	Gestão	Ambos	Sim	3 a 6 meses	Sim	Variedade, Velocidade, Volume				
17/03/2022 19:16:03	Sim	Colaborador Interno	Não	Google Cloud Plataform	Scrum, Kanban, OKR	Variedade	Não	Não ocorreu alteração no escopo do projeto		Bases SQL, Bases NoSQL, API, Outros	35 pessoas ou mais	4	Falha no planejamento da arquitetura que não prepara realmente o terreno para análise de dados, Falha na implantação da governança dos dados		Empresa de Grande Porte (500 funcionários ou mais)	Acima de R$ 100.000,01	Gestão	Ambos	Sim	6 a 12 meses	Sim	Velocidade				
17/03/2022 19:51:48	Sim	Colaborador Interno	Sim	Google Cloud Plataform	Scrum, Kanban, OKR	Variedade	Sim	Alteração no custo inicial do escopo do projeto		Bases SQL, Bases NoSQL, API, Outros	35 pessoas ou mais	5	Falha no planejamento em relação às etapas de desenvolvimento do projeto, Falha pela ausência de banco de dados (informações) importantes que não foram migradas para o data lake		Empresa de Grande Porte (500 funcionários ou mais)	Acima de R$ 100.000,01	Desenvolvimento	Ambos	Sim	6 a 12 meses	Sim	Velocidade				
17/03/2022 20:27:51	Sim	Colaborador Interno	Sim	Google Cloud Plataform	Scrum, Kanban, OKR	Volume	Sim	Alteração de infraestrutura tecnológica para atender o projeto, Redefinição dos bancos de dados que migraram para a nuvem, Alteração das soluções contratadas (up-grade ou redução de soluções), Alteração da equipe de desenvolvimento		Bases SQL, Bases NoSQL, API	35 pessoas ou mais	4	Não ocorreram falhas no desenvolvimento do data lake		Empresa de Grande Porte (500 funcionários ou mais)	Acima de R$ 100.000,01	Desenvolvimento	Ambos	Sim	3 a 6 meses	Sim	Velocidade				
17/03/2022 20:46:55	Sim	Colaborador Interno	Sim	Google Cloud Plataform	Scrum, OKR	Variedade	Sim	Alteração das soluções contratadas (up-grade ou redução de soluções)		Bases SQL, Bases NoSQL, API, Outros	35 pessoas ou mais	4	Falha na implantação da governança dos dados		Empresa de Grande Porte (500 funcionários ou mais)	Acima de R$ 100.000,01	Desenvolvimento	B2C (Empresas negociam com consumidores finais)	Sim	6 a 12 meses	Sim	Velocidade				
17/03/2022 20:47:08	Sim	Colaborador Interno	Sim	Google Cloud Plataform	Scrum, Kanban, OKR	Velocidade	Sim	Não ocorreu alteração no escopo do projeto, Repriorização e demandas pontuais		Bases SQL, API	Até 5 pessoas	5	Não ocorreram falhas no desenvolvimento do data lake		Empresa de Grande Porte (500 funcionários ou mais)	Acima de R$ 100.000,01	Gestão	Ambos	Sim	Até 3 meses	Sim	Velocidade				
17/03/2022 20:58:45	Sim	Colaborador Interno	Não	Google Cloud Plataform	Scrum	Velocidade	Sim	Alteração das soluções contratadas (up-grade ou redução de soluções), Alteração da equipe de desenvolvimento, Alteração no custo inicial do escopo do projeto		Bases SQL, Bases NoSQL, API, Outros	35 pessoas ou mais	4	Falha no planejamento em relação às etapas de desenvolvimento do projeto, Falha na capacidade de utilização do data lake pelos analistas da empresa, Falha na implantação da governança dos dados		Empresa de Grande Porte (500 funcionários ou mais)	Acima de R$ 100.000,01	Desenvolvimento	Ambos	Sim	Até 3 meses	Sim	Velocidade				
17/03/2022 21:06:55	Sim	Colaborador Interno	Sim	Google Cloud Plataform	Scrum, Kanban, OKR	Variedade	Sim	Alteração de infraestrutura tecnológica para atender o projeto, Redefinição dos bancos de dados que migraram para a nuvem, Alteração das soluções contratadas (up-grade ou redução de soluções)		Bases SQL, API	35 pessoas ou mais	4	Não ocorreram falhas no desenvolvimento do data lake		Empresa de Grande Porte (500 funcionários ou mais)	Acima de R$ 100.000,01	Desenvolvimento	Ambos	Sim	6 a 12 meses	Sim	Velocidade				
17/03/2022 21:07:17	Sim	Colaborador Interno	Sim	Google Cloud Plataform	Scrum, Kanban, OKR	Velocidade	Sim	Alteração da equipe de desenvolvimento, Repriorizacao de dados pelo negócio		Bases SQL, API	Até 5 pessoas	4	Falha no planejamento em relação às etapas de desenvolvimento do projeto, Falha na implantação da governança dos dados, Problemas na origem dos dados		Empresa de Grande Porte (500 funcionários ou mais)	Acima de R$ 100.000,01	Gestão	Ambos	Sim	Até 3 meses	Não	Velocidade				
17/03/2022 21:55:04	Sim	Colaborador Interno	Não	Google Cloud Plataform	Scrum	Velocidade	Não	Não ocorreu alteração no escopo do projeto		Bases SQL, API	35 pessoas ou mais	3	Falha no planejamento em relação às etapas de desenvolvimento do projeto, Falha no planejamento da arquitetura que não prepara realmente o terreno para análise de dados, Falha na implantação da governança dos dados		Empresa de Grande Porte (500 funcionários ou mais)	Acima de R$ 100.000,01	Gestão	B2C (Empresas negociam com consumidores finais)	Não	6 a 12 meses	Sim	Velocidade				
17/03/2022 21:59:21	Sim	Colaborador Interno	Sim	Google Cloud Plataform	Scrum, Kanban	Volume	Não	Não ocorreu alteração no escopo do projeto		Bases SQL, Bases NoSQL, API	21 a 35 pessoas	5	Falha no planejamento de custo relacionado à infraestrutura e manutenção, Falha na implantação da governança dos dados		Empresa de Grande Porte (500 funcionários ou mais)	Acima de R$ 100.000,01	Gestão	Ambos	Sim	3 a 6 meses	Sim	Velocidade				
17/03/2022 22:03:41	Sim	Colaborador Interno	Sim	Google Cloud Plataform	Scrum, OKR	Velocidade	Sim	Alteração no custo inicial do escopo do projeto		Bases SQL, Bases NoSQL, API, Outros	35 pessoas ou mais	5	Falha no planejamento em relação às etapas de desenvolvimento do projeto		Empresa de Grande Porte (500 funcionários ou mais)	Acima de R$ 100.000,01	Desenvolvimento	Ambos	Sim	6 a 12 meses	Sim	Velocidade				
17/03/2022 22:39:46	Não																									
17/03/2022 22:40:05	Não																									
18/03/2022 08:53:01	Não																									
19/03/2022 21:18:02	Não																									
22/03/2022 12:17:19	Sim	Colaborador Interno	Não	Amazon Web Services	Scrum, Kanban	Variedade	Sim	Alteração da equipe de desenvolvimento, Alteração no custo inicial do escopo do projeto		Bases SQL, API	35 pessoas ou mais	4	Não ocorreram falhas no desenvolvimento do data lake		Empresa de Médio Porte (até 500 funcionários)	Não sei responder essa informação	Desenvolvimento	B2C (Empresas negociam com consumidores finais)	Não	6 a 12 meses	Não	Velocidade				
22/03/2022 12:43:34	Não																									
22/03/2022 23:09:55	Não																									
22/03/2022 23:17:10	Sim	Consultor Terceirizado	Sim	Amazon Web Services	Scrum, OKR	Volume	Não	Não ocorreu alteração no escopo do projeto		Bases SQL	35 pessoas ou mais	5	Não ocorreram falhas no desenvolvimento do data lake		Empresa de Grande Porte (500 funcionários ou mais)	Entre R$ 30.000,01 e R$ 50.000,00	Desenvolvimento	B2C (Empresas negociam com consumidores finais)	Sim	12 a 18 meses	Sim	Velocidade				
22/03/2022 23:19:56	Sim	Consultor Terceirizado	Sim	Google Cloud Plataform	Scrum, Kanban	Volume	Não	Não ocorreu alteração no escopo do projeto		Bases SQL, Bases NoSQL, API, Outros	35 pessoas ou mais	5	Não ocorreram falhas no desenvolvimento do data lake		Empresa de Grande Porte (500 funcionários ou mais)	Entre R$ 50.000,01 e R$ 100.000,00	Desenvolvimento	Ambos	Sim	18 meses ou mais	Sim	Velocidade				
22/03/2022 23:22:55	Sim	Colaborador Interno	Não	Amazon Web Services	Scrum	Volume	Não	Não ocorreu alteração no escopo do projeto		Bases SQL, API	Até 5 pessoas	4	Falha na implantação da governança dos dados		Empresa de Grande Porte (500 funcionários ou mais)	Acima de R$ 100.000,01	Desenvolvimento	B2B (Empresas negociam com outras empresas)	Sim	Até 3 meses	Não	Velocidade				
22/03/2022 23:23:21	Não																									
22/03/2022 23:26:49	Sim	Colaborador Interno	Não	Google Cloud Plataform	OKR, Scaled Agile Framework (SAFe)	Variedade	Sim	Alteração de infraestrutura tecnológica para atender o projeto, Redefinição dos bancos de dados que migraram para a nuvem, Alteração das soluções contratadas (up-grade ou redução de soluções), Alteração da equipe de desenvolvimento, Alteração no custo inicial do escopo do projeto		Bases SQL, Bases NoSQL	11 a 20 pessoas	2	Falha no planejamento em relação às etapas de desenvolvimento do projeto, Falha no planejamento de custo relacionado à infraestrutura e manutenção, Falha pela ausência de banco de dados (informações) importantes que não foram migradas para o data lake, Falha na gestão/liderança da equipe para executar o projeto, Falha na implantação da governança dos dados		Empresa de Grande Porte (500 funcionários ou mais)	Entre R$ 50.000,01 e R$ 100.000,00	Desenvolvimento	B2B (Empresas negociam com outras empresas)	Não	6 a 12 meses	Não	Velocidade				
22/03/2022 23:30:04	Sim	Consultor Terceirizado	Não	Microsoft Azure	Nenhuma metodologia ágil foi utilizada	Velocidade	Sim	Alteração de infraestrutura tecnológica para atender o projeto, Redefinição dos bancos de dados que migraram para a nuvem, Alteração das soluções contratadas (up-grade ou redução de soluções), Alteração da equipe de desenvolvimento, Alteração no custo inicial do escopo do projeto, Mudança nos protocolos de segurança e acesso		Bases SQL, Bases NoSQL, API	11 a 20 pessoas	1	Falha no planejamento em relação às etapas de desenvolvimento do projeto, Falha no planejamento da arquitetura que não prepara realmente o terreno para análise de dados, Falha no planejamento de custo relacionado à infraestrutura e manutenção, Falha na capacidade de utilização do data lake pelos analistas da empresa, Falha pela ausência de banco de dados (informações) importantes que não foram migradas para o data lake, Falha na implantação da governança dos dados		Empresa de Médio Porte (até 500 funcionários)	Entre R$ 30.000,01 e R$ 50.000,00	Gestão	Ambos	Não	Até 3 meses	Sim	Velocidade				
22/03/2022 23:32:32	Sim	Consultor Terceirizado	Sim	Amazon Web Services	Nenhuma metodologia ágil foi utilizada	Velocidade	Não	Não ocorreu alteração no escopo do projeto		Bases SQL	5 a 10 pessoas	4	Falha no planejamento de custo relacionado à infraestrutura e manutenção		Empresa de Pequeno Porte (até 100 funcionários)	Entre R$ 50.000,01 e R$ 100.000,00	Desenvolvimento	B2C (Empresas negociam com consumidores finais)	Sim	3 a 6 meses	Sim	Velocidade				
22/03/2022 23:34:59	Sim	Colaborador Interno	Sim	Microsoft Azure	Scrum, Kanban	Variedade	Sim	Redefinição dos bancos de dados que migraram para a nuvem		Bases SQL, Bases NoSQL, API	5 a 10 pessoas	5	Falha no planejamento de custo relacionado à infraestrutura e manutenção, Falha na implantação da governança dos dados		Empresa de Pequeno Porte (até 100 funcionários)	Entre R$ 20.000,01 e R$ 30.000,00	Gestão	Ambos	Sim	3 a 6 meses	Não	Velocidade				
22/03/2022 23:37:11	Sim	Consultor Terceirizado	Sim	Microsoft Azure	Scrum	Variedade	Não	Não ocorreu alteração no escopo do projeto		Bases SQL, API	35 pessoas ou mais	5	Falha na implantação da governança dos dados		Empresa de Grande Porte (500 funcionários ou mais)	Entre R$ 50.000,01 e R$ 100.000,00	Desenvolvimento	B2B (Empresas negociam com outras empresas)	Sim	Até 3 meses	Não	Velocidade				
22/03/2022 23:39:16	Sim	Colaborador Interno	Sim	Google Cloud Plataform	Scrum, Kanban, OKR	Variedade	Sim	Alteração de infraestrutura tecnológica para atender o projeto, Redefinição dos bancos de dados que migraram para a nuvem, Alteração das soluções contratadas (up-grade ou redução de soluções), Alteração no custo inicial do escopo do projeto		Bases SQL, API, Outros	35 pessoas ou mais	4	Falha no planejamento da arquitetura que não prepara realmente o terreno para análise de dados, Falha no planejamento de custo relacionado à infraestrutura e manutenção, Falha na capacidade de utilização do data lake pelos analistas da empresa, Falha pela ausência de banco de dados (informações) importantes que não foram migradas para o data lake		Empresa de Grande Porte (500 funcionários ou mais)	Entre R$ 50.000,01 e R$ 100.000,00	Gestão	Ambos	Não	3 a 6 meses	Sim	Velocidade				
23/03/2022 11:00:47	Sim	Consultor Terceirizado	Não	Amazon Web Services	Scrum, OKR	Volume	Não	Não ocorreu alteração no escopo do projeto		Bases SQL, Bases NoSQL, API	11 a 20 pessoas	4	Falha no planejamento da arquitetura que não prepara realmente o terreno para análise de dados, Falha pela ausência de banco de dados (informações) importantes que não foram migradas para o data lake		Empresa de Grande Porte (500 funcionários ou mais)	Acima de R$ 100.000,01	Desenvolvimento	B2B (Empresas negociam com outras empresas)	Sim	6 a 12 meses	Não	Velocidade				
23/03/2022 17:32:09	Sim	Colaborador Interno	Sim	Amazon Web Services	Scrum	Recorrência de atualizações no ERP, gerando fila no DMS.	Sim	Alteração de infraestrutura tecnológica para atender o projeto, Alteração das soluções contratadas (up-grade ou redução de soluções)		Bases SQL, API, Outros	5 a 10 pessoas	5	Inserts/updats recorrentes que utilizava100% do disco, deixando os dados no data lake defasado.		Empresa de Grande Porte (500 funcionários ou mais)	Acima de R$ 100.000,01	Gestão	Ambos	Sim	Até 3 meses	Sim	Velocidade				
23/03/2022 22:13:07	Sim	Colaborador Interno	Sim	Amazon Web Services	Scrum, Kanban	Velocidade	Não	Alteração de infraestrutura tecnológica para atender o projeto		Bases SQL, API, Outros	5 a 10 pessoas	3	Falha no planejamento em relação às etapas de desenvolvimento do projeto		Empresa de Pequeno Porte (até 100 funcionários)	Acima de R$ 100.000,01	Desenvolvimento	B2B (Empresas negociam com outras empresas)	Não	Até 3 meses	Não	Velocidade				
24/03/2022 06:00:34	Sim	Colaborador Interno	Não	Amazon Web Services	Outros	Volume	Sim	Alteração no custo inicial do escopo do projeto		Bases SQL, Bases NoSQL, API, Outros	35 pessoas ou mais	4	Falha no planejamento de custo relacionado à infraestrutura e manutenção, Falha na gestão/liderança da equipe para executar o projeto, Falha na implantação da governança dos dados		Empresa de Grande Porte (500 funcionários ou mais)	Acima de R$ 100.000,01	Desenvolvimento	Ambos	Sim	12 a 18 meses	Não	Velocidade				